Date;Open;High;Low;Close;Adj Close;Volume;rt;(rt-rtbar)^2;;;;;;
01/12/2017;83.599.998;84.809.998;83.220.001;84.260.002;83.504.105;29532100;0.001068741;1.14408E-07;;;;;;
04/12/2017;84.419.998;84.430.000;80.699.997;81.080.002;80.352.631;39094900;-0.038470934;0.001590248;;;;;;
05/12/2017;81.339.996;82.680.000;80.980.003;81.589.996;80.858.047;26152300;0.00627031;2.3652E-05;;;;;;
06/12/2017;81.550.003;83.139.999;81.430.000;82.779.999;82.037.376;26162100;0.014479818;0.000170899;;;;;;
07/12/2017;82.540.001;82.800.003;82.000.000;82.489.998;81.749.977;23184500;-0.003509425;2.41711E-05;;;;;;
08/12/2017;83.629.997;84.580.002;83.330.002;84.160.004;83.405.006;24489100;0.020042747;0.000347292;;;;;;
11/12/2017;84.290.001;85.370.003;84.120.003;85.230.003;84.465.401;22857900;0.012633723;0.00012604;;;;;;
12/12/2017;85.309.998;86.050.003;85.080.002;85.580.002;84.812.263;23924100;0.004098115;7.24219E-06;;;;;;
13/12/2017;85.739.998;86.000.000;85.169.998;85.349.998;84.584.328;22062700;-0.002691209;1.67952E-05;;;;;;
14/12/2017;85.430.000;85.870.003;84.529.999;84.690.002;83.930.252;19306000;-0.007762871;8.40862E-05;;;;;;
15/12/2017;85.260.002;87.089.996;84.879.997;86.849.998;86.070.869;53936700;0.025184915;0.00056539;;;;;;
18/12/2017;87.120.003;87.500.000;86.230.003;86.379.997;85.605.080;22283800;-0.005426337;4.66943E-05;;;;;;
19/12/2017;86.349.998;86.349.998;85.269.997;85.830.002;85.060.020;23524800;-0.006387514;6.07542E-05;;;;;;
20/12/2017;86.199.997;86.300.003;84.709.999;85.519.997;84.752.792;23674900;-0.003618387;2.52543E-05;;;;;;
21/12/2017;86.050.003;86.099.998;85.400.002;85.500.000;84.732.979;17990700;-0.000233856;2.69235E-06;;;;;;
22/12/2017;85.400.002;85.629.997;84.919.998;85.510.002;84.742.889;14145800;0.000116976;1.66412E-06;;;;;;
26/12/2017;85.309.998;85.529.999;85.029.999;85.400.002;84.633.873;9891200;-0.001287227;7.25877E-06;;;;;;
27/12/2017;85.650.002;85.980.003;85.220.001;85.709.999;84.941.093;14678000;0.003623369;4.91237E-06;;;;;;
28/12/2017;85.900.002;85.930.000;85.550.003;85.720.001;84.951.004;10594300;0.000116689;1.66486E-06;;;;;;
29/12/2017;85.629.997;86.050.003;85.500.000;85.540.001;84.772.621;18717400;-0.002102068;1.23134E-05;;;;;;
02/01/2018;86.129.997;86.309.998;85.500.000;85.949.997;85.178.940;22483800;0.004781582;1.13879E-05;;;;;;
03/01/2018;86.059.998;86.510.002;85.970.001;86.349.998;85.575.356;26061400;0.004643085;1.04724E-05;;;;;;
04/01/2018;86.589.996;87.660.004;86.570.000;87.110.001;86.328.537;21912000;0.008762918;5.41098E-05;;;;;;
05/01/2018;87.660.004;88.410.004;87.430.000;88.190.002;87.398.849;23407100;0.012321901;0.000119135;;;;;;
08/01/2018;88.199.997;88.580.002;87.599.998;88.279.999;87.488.037;22113000;0.001019969;1.49779E-07;;;;;;
09/01/2018;88.650.002;88.730.003;87.860.001;88.220.001;87.428.581;19484300;-0.000679864;4.35493E-06;;;;;;
10/01/2018;87.860.001;88.190.002;87.410.004;87.820.000;87.032.166;18652200;-0.004544441;3.54194E-05;;;;;;
11/01/2018;88.129.997;88.129.997;87.239.998;88.080.002;87.289.833;17808900;0.00295625;2.40023E-06;;;;;;
12/01/2018;88.669.998;89.779.999;88.449.997;89.599.998;88.796.204;24271500;0.017109783;0.000246578;;;;;;
16/01/2018;90.099.998;90.790.001;88.010.002;88.349.998;87.557.411;36599700;-0.014049122;0.000238891;;;;;;
17/01/2018;89.080.002;90.279.999;88.750.000;90.139.999;89.331.352;25621200;0.02005783;0.000347854;;;;;;
18/01/2018;89.800.003;90.669.998;89.660.004;90.099.998;89.291.710;24159700;-0.000443864;3.42563E-06;;;;;;
19/01/2018;90.139.999;90.610.001;89.660.004;90.000.000;89.192.604;36875000;-0.001110472;6.33758E-06;;;;;;
22/01/2018;90.000.000;91.620.003;89.739.998;91.610.001;90.788.170;23601600;0.017730777;0.000266466;;;;;;
23/01/2018;91.900.002;92.300.003;91.540.001;91.900.002;91.075.562;23412800;0.003160604;3.07519E-06;;;;;;
24/01/2018;92.550.003;93.430.000;91.580.002;91.820.000;90.996.284;33277500;-0.000870912;5.18881E-06;;;;;;
25/01/2018;92.470.001;93.239.998;91.930.000;92.330.002;91.501.709;26383200;0.005538999;1.70736E-05;;;;;;
26/01/2018;93.120.003;94.059.998;92.580.002;94.059.998;93.216.187;29172200;0.018563718;0.000294354;;;;;;
29/01/2018;95.139.999;95.449.997;93.720.001;93.919.998;93.077.446;31569900;-0.00148952;8.38973E-06;;;;;;
30/01/2018;93.300.003;93.660.004;92.099.998;92.739.998;91.908.028;38635100;-0.012643477;0.000197415;;;;;;
